Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE,EMA5,EMA50,EMA200,RSI9,RSI14,RSI25,MACD,MACDSignal,MACDHist,BollingerUpper,BollingerMiddle,BollingerLower,ATR,UpperBand,LowerBand,Supertrend
2016-10-16,678.0,666.0,658.0,660.0,0.0,3547,2347771.0,17.94,36.78929766,648.8870092245531,571.1109543603534,489.71174319541626,84.08903743927857,78.15692497644574,71.76105471571798,28.11185292304185,25.07488424979901,3.0369686732428427,671.7454303746468,610.1999999999996,548.6545696253523,18.290376289154587,716.8711288674638,607.1288711325362,378.6553284372352
2016-10-17,660.0,660.0,647.0,651.0,0.0,5758,3758521.0,17.94,36.28762542,643.3305138368297,567.4828300485311,488.000303428536,81.57396681742833,76.24531567913913,70.49764183496208,27.43733643766268,24.3156420814883,3.1216943561743804,670.1021084002657,603.6999999999996,537.2978915997335,18.655973654616204,709.4679209638487,597.5320790361513,378.6553284372352
2016-10-18,651.0,655.0,644.0,646.0,0.0,6085,3939778.0,17.94,36.00891862,639.4957707552445,564.0739659688793,486.3621155232952,80.0138471668667,75.12215761353109,69.77646662130947,27.093683229958287,23.535218492444702,3.558464737513585,665.7688355250409,598.3999999999996,531.0311644749584,19.17330406068467,707.019912182054,591.980087817946,378.6553284372352
2016-10-19,646.0,651.0,642.0,648.0,0.0,6977,4505359.0,17.94,36.12040134,636.2436561328667,560.730046212507,484.7577146742831,82.49740227134154,76.46501440343802,70.4376472581297,26.7700577433252,22.645602308066305,4.124455435258891,661.3287329502745,593.0999999999997,524.8712670497249,20.0814489563163,706.7443468689489,586.2556531310511,378.6553284372352
2016-10-20,648.0,651.0,643.0,648.0,0.0,3303,2133809.0,17.94,36.12040134,630.3654841993001,557.1680072824053,483.1170886911101,82.49740227134154,76.46501440343802,70.4376472581297,25.7639749186651,21.61448844925158,4.149486469413517,655.4859670071539,587.3499999999997,519.2140329928454,21.312721062573665,710.938163187721,583.061836812279,378.6553284372352
2016-10-23,648.0,650.0,633.0,635.0,0.0,6063,3890654.0,17.94,35.39576366,621.5482262989502,553.4605790082177,481.45997400458856,79.17818625745488,73.84461995151878,68.65860919380482,24.10509866000939,20.5771168318982,3.527981828111187,647.4817603899453,581.6999999999996,515.9182396100539,21.903023402859628,707.2090702085789,575.7909297914211,378.6553284372352
2016-10-24,635.0,636.0,624.0,627.0,0.0,6771,4260641.0,17.94,34.94983278,614.8223394484254,550.1324393759,479.9168581654386,76.76822840492366,72.06746613014428,67.50328580850442,22.96078607299762,19.695121374870407,3.265664698127214,643.7905581508496,575.3499999999997,506.90944184914974,21.78113711428848,695.3434113428655,564.6565886571345,378.6553284372352
2016-10-25,627.0,626.0,610.0,615.0,0.0,10593,6519013.0,17.94,34.28093645,608.733509172638,546.9949879218551,478.43863563443807,72.52880055338133,69.14762544531695,65.68159402768453,21.98079748269538,18.878705200338604,3.102092282356775,637.0780084064025,570.6999999999996,504.32199159359664,21.8679301269872,683.6037903809615,552.3962096190385,378.6553284372352
2016-10-26,615.0,615.0,600.0,609.0,0.0,19957,12096246.0,17.94,33.94648829,605.6002637589571,544.2192731431553,477.0661596106636,70.1041247780127,67.57390040595834,64.73262997839531,21.632073173143223,18.10318212974941,3.5288910433938163,631.300217390931,568.0499999999996,504.7997826090682,22.408811252208,674.726433756624,540.273566243376,378.6553284372352
2016-10-27,609.0,620.0,608.0,610.0,0.0,6749,4124275.0,17.94,34.00222965,603.9003956384357,541.5751618428759,475.7401913655446,71.03294594755842,68.11158215427537,65.02029800273627,21.48323489916004,17.220959368900957,4.262275530259082,626.7243747383973,566.2499999999997,505.7756252616021,23.23201250245333,683.69603750736,544.30396249264,378.6553284372352
